State Name,FIPS Code,LEA ID,LEA Name,NCES ID,School Name,Total Students,Total Rate,Native American Count,Native American Rate,Asian/Pacific Islander Count,Asian/Pacific Islander Rate,Black Count,Black Rate,Hispanic Count,Hispanic Rate,Two or More Count,Two or More Rate,White Count,White Rate,Disabilities Count,Disabilities Rate,Economically Disadvantaged Count,Economically Disadvantaged Rate,Limited English Count,Limited English Rate
IOWA,19,1908910,Denison Comm School District,190891000915,Denison Alternative High School,25,40-59,,.,,.,6,GE50,2,PS,,.,17,40-59,7,LT50,14,GE50,2,PS
IOWA,19,1908940,Denver Comm School District,190894000514,Denver Senior High School,47,GE90,,.,,.,,.,,.,,.,47,GE90,8,GE50,6,GE50,,.
IOWA,19,1908970,Des Moines Independent Comm School District,190897000528,East High School,492,74,1,PS,28,GE80,71,65-69,103,65-69,17,GE80,272,75-79,115,60-64,366,70,54,60-69
IOWA,19,1908970,Des Moines Independent Comm School District,190897000543,Hoover High School,251,85,2,PS,18,60-79,62,80-84,39,70-79,22,GE80,108,90-94,45,60-69,162,75-79,47,60-69
IOWA,19,1908970,Des Moines Independent Comm School District,190897000550,Lincoln High School,482,80,6,GE50,22,60-79,56,70-79,68,75-79,11,GE50,319,82,87,65-69,281,70-74,28,60-79
IOWA,19,1908970,Des Moines Independent Comm School District,190897000566,North High School,256,70,2,PS,19,60-79,64,65-69,56,70-79,12,GE50,103,65-69,73,60-64,212,65-69,34,70-79
IOWA,19,1908970,Des Moines Independent Comm School District,190897000574,Roosevelt High School,381,87,1,PS,14,GE50,99,80-84,33,60-69,17,GE80,217,90-94,60,80-89,180,75-79,28,GE80
IOWA,19,1908970,Des Moines Independent Comm School District,190897000537,Scavo Alternative High School,118,30-34,,.,1,PS,24,40-59,32,20-29,5,PS,56,30-39,30,21-39,105,30-34,11,LT50
IOWA,19,1908970,Des Moines Independent Comm School District,190897000580,Ruby Van Meter School,18,LE20,,.,,.,3,PS,1,PS,1,PS,13,LT50,18,LE20,13,LT50,,.
IOWA,19,1909060,Diagonal Comm School District,190906000594,Diagonal Junior-Senior High School,5,PS,,.,,.,,.,,.,,.,5,PS,,.,2,PS,,.
IOWA,19,1909120,Dike-New Hartford Comm School District,190912000596,Dike-New Hartford High School,50,GE90,,.,,.,1,PS,,.,1,PS,48,GE90,2,PS,6,GE50,,.
IOWA,19,1909480,Dubuque Comm School District,190948000604,Dubuque Senior High School,315,85,2,PS,6,GE50,15,GE50,4,PS,14,GE50,274,85-89,61,75-79,138,75-79,5,PS
IOWA,19,1909480,Dubuque Comm School District,190948000608,Hempstead High School,439,92,,.,11,GE50,10,GE50,8,GE50,,.,410,92,62,80-84,116,80-84,3,PS
IOWA,19,1909540,Dunkerton Comm School District,190954000625,Dunkerton High School,32,GE90,,.,,.,,.,,.,,.,32,GE90,5,PS,12,GE50,,.
IOWA,19,1909600,Durant Comm School District,190960000630,Durant High School,64,90-94,,.,,.,,.,,.,,.,64,90-94,5,PS,13,GE50,,.
IOWA,19,1909990,Eagle Grove Comm School District,190999000635,Eagle Grove High School,67,85-89,,.,,.,,.,2,PS,2,PS,63,80-84,12,GE50,38,80-89,1,PS
IOWA,19,1910050,Earlham Comm School District,191005000641,Earlham Senior High School,53,GE90,,.,2,PS,,.,,.,,.,51,GE90,8,GE50,9,GE50,1,PS
IOWA,19,1910110,East Buchanan Comm School District,191011000643,East Buchanan High School,42,GE90,1,PS,,.,,.,1,PS,,.,40,GE90,4,PS,9,GE50,,.
IOWA,19,1910130,East Central Comm School District,191013000646,East Central Community High School,33,GE90,,.,,.,1,PS,,.,1,PS,31,GE90,4,PS,7,GE50,,.
IOWA,19,1910200,East Greene Comm School District,191020000651,Grand Junction High School,23,GE80,,.,,.,,.,2,PS,,.,21,GE80,4,PS,12,GE50,1,PS
IOWA,19,1900040,East Marshall Comm School District,190004000117,East Marshall Senior High School,66,GE95,,.,1,PS,,.,2,PS,,.,63,GE95,9,GE50,21,GE80,1,PS
IOWA,19,1910350,East Union Comm School District,191035000661,East Union Middle-High School,37,GE90,,.,,.,,.,,.,1,PS,36,GE90,5,PS,10,GE50,,.
IOWA,19,1910410,Eastern Allamakee Comm School District,191041000663,Kee High School,35,GE90,1,PS,1,PS,,.,1,PS,,.,32,GE90,4,PS,9,GE50,,.
IOWA,19,1904950,Eddyville-Blakesburg Comm School District,190495000668,Eddyville-Blakesburg Junior - Senior High,51,80-89,,.,,.,,.,1,PS,,.,50,GE90,3,PS,21,GE80,1,PS
IOWA,19,1910500,Edgewood-Colesburg Comm School District,191050000670,Edgewood-Colesburg High School,52,GE90,,.,,.,,.,,.,,.,52,GE90,8,GE50,19,GE80,,.
IOWA,19,1910690,Eldora-New Providence Comm School District,191069002048,Eldora-New Providence High School,70,90-94,,.,1,PS,1,PS,1,PS,3,PS,64,90-94,10,GE50,29,GE80,1,PS
IOWA,19,1910710,Elk Horn-Kimballton Comm School District,191071000674,Elk Horn-Kimballton High School,19,GE80,,.,,.,,.,1,PS,,.,18,GE80,,.,9,GE50,,.
IOWA,19,1910950,Emmetsburg Comm School District,191095000675,Emmetsburg High School,63,85-89,,.,,.,,.,3,PS,1,PS,59,GE90,11,GE50,21,60-79,,.
IOWA,19,1910980,English Valleys Comm School District,191098000679,English Valleys Jr-Sr High School,48,GE90,,.,,.,2,PS,1,PS,,.,45,GE90,6,GE50,16,GE80,,.
IOWA,19,1911040,Essex Comm School District,191104000683,Essex Junior-Senior High School,9,GE50,,.,,.,,.,,.,,.,9,GE50,3,PS,3,PS,,.
IOWA,19,1911070,Estherville Lincoln Central Com Sch Dist,191107000685,Estherville Lincoln Central High School,90,85-89,1,PS,,.,,.,14,GE50,2,PS,73,90-94,13,GE50,36,70-79,5,PS
IOWA,19,1911250,Exira Comm School District,191125000692,Exira Junior-Senior High School,16,GE80,,.,,.,,.,,.,,.,16,GE80,,.,5,PS,,.
IOWA,19,1911340,Fairfield Comm School District,191134000693,Fairfield High School,133,85-89,,.,3,PS,1,PS,8,GE50,1,PS,120,85-89,13,GE50,48,80-89,3,PS
IOWA,19,1911520,Farragut Comm School District,191152000703,Farragut Senior High School,14,GE50,,.,,.,,.,,.,2,PS,12,GE50,2,PS,7,GE50,,.
IOWA,19,1911790,Forest City Comm School District,191179000716,Forest City High School,105,GE95,,.,,.,2,PS,4,PS,,.,99,GE95,16,GE80,25,GE80,,.
IOWA,19,1911790,Forest City Comm School District,191179001281,Forest City Alternative School,5,PS,,.,,.,,.,,.,1,PS,4,PS,2,PS,5,PS,,.
IOWA,19,1911820,Fort Dodge Comm School District,191182000724,Fort Dodge High School,299,83,,.,7,GE50,16,60-79,15,GE50,7,LT50,254,85-89,55,50-59,130,70-74,4,PS
IOWA,19,1911850,Fort Madison Comm School District,191185000733,Fort Madison High School,146,GE95,,.,2,PS,4,PS,13,GE50,4,PS,123,GE95,25,GE80,66,90-94,,.
